date,country,pct_ili,pct_cli,pct_tested,region
2020-07-01,Afghanistan,15.35,16.33,11.81,
2020-07-01,Aland Islands,24.82,25.8,22.72,
2020-07-01,Albania,4.31,4.43,2.35,
2020-07-01,Algeria,3.67,4.49,2.55,
2020-07-01,American Samoa,19.16,22.11,15.58,
2020-07-01,Andorra,10.45,10.65,17.61,
2020-07-01,Angola,1.84,1.68,2.87,
2020-07-01,Argentina,0.59,0.66,1.45,
2020-07-01,Armenia,3.22,3.17,4.31,
2020-07-01,Australia,1.47,1.64,3.9,
2020-07-01,Austria,0.64,0.68,2.47,
2020-07-01,Azerbaijan,2.78,2.99,5.02,
2020-07-01,Bangladesh,4.32,4.29,5.12,
2020-07-01,Belarus,2.21,2.2,4.2,
2020-07-01,Belgium,0.44,0.55,3.05,
2020-07-01,Benin,4.47,4.4,5.2,
2020-07-01,Bolivia,4.82,5.43,3.4,
2020-07-01,Bosnia and Herzegovina,0.64,0.8,2.07,
2020-07-01,Brazil,1.79,1.97,4.12,
2020-07-01,Bulgaria,0.44,0.5,2.83,
2020-07-01,Burkina Faso,0.64,0.64,3.26,
2020-07-01,Cambodia,5.58,6.4,4.24,
2020-07-01,Cameroon,2.3,2,9.11,
2020-07-01,Canada,0.48,0.5,2.68,
2020-07-01,Chile,1.43,1.49,3.97,
2020-07-01,Colombia,1.61,1.83,2.01,
2020-07-01,Costa Rica,0.69,0.84,0.46,
2020-07-01,Croatia,1.05,1.2,0.51,
2020-07-01,Czech Republic,0.42,0.42,1.46,
2020-07-01,Côte d'Ivoire,2.65,3.22,6.05,
2020-07-01,Democratic Republic of the Congo,3.2,3.96,7.01,
2020-07-01,Denmark,0.63,0.7,4.97,
2020-07-01,Dominica,2.97,3.56,4.97,
2020-07-01,Dominican Republic,2.38,2.55,4.68,
2020-07-01,Ecuador,3.61,4.29,6,
2020-07-01,Egypt,2.33,2.45,2.64,
2020-07-01,El Salvador,4.9,5.62,1.76,
2020-07-01,Ethiopia,1.9,2.16,5.33,
2020-07-01,Finland,0.49,0.49,0.87,
2020-07-01,France,0.51,0.52,2.87,
2020-07-01,Germany,0.34,0.33,1.84,
2020-07-01,Ghana,2.71,2.7,4.33,
2020-07-01,Greece,0.19,0.18,1.95,
2020-07-01,Guatemala,1.62,2.1,1.97,
2020-07-01,Guinea,0.78,0.78,5.03,
2020-07-01,Haiti,2.42,2.42,2.66,
2020-07-01,Honduras,3.34,3.57,5.19,
2020-07-01,Hong Kong,0.37,0.46,1.41,
2020-07-01,Hungary,0.29,0.32,1.04,
2020-07-01,India,0.89,0.99,2.72,
2020-07-01,Indonesia,1.94,2.26,6.57,
2020-07-01,Iraq,3.61,3.87,4.29,
2020-07-01,Ireland,0.58,0.61,1.32,
2020-07-01,Israel,0.66,0.73,3.24,
2020-07-01,Italy,0.18,0.17,2.99,
2020-07-01,Japan,0.35,0.42,0.35,
2020-07-01,Jordan,1.28,1.37,3.08,
2020-07-01,Kazakhstan,7.16,7.9,7.13,
2020-07-01,Kenya,1.79,1.95,4.16,
2020-07-01,Kuwait,0.85,0.66,4.49,
2020-07-01,Kyrgyzstan,7.03,7.69,4.74,
2020-07-01,Laos,1.69,1.46,6.06,
2020-07-01,Lebanon,0.19,0.27,1.94,
2020-07-01,Libya,1.31,1.24,1.66,
2020-07-01,Madagascar,3.13,2.24,2.91,
2020-07-01,Malaysia,0.68,0.81,3.01,
2020-07-01,Mali,1.34,1.34,3.7,
2020-07-01,Mauritania,1.98,1.67,10.26,
2020-07-01,Mexico,2.18,2.53,2.01,
2020-07-01,Moldova,0.31,0.38,2.57,
2020-07-01,Morocco,1.26,1.32,4.06,
2020-07-01,Mozambique,1.02,1.35,3.81,
2020-07-01,Myanmar,2.72,2.8,5.88,
2020-07-01,Nepal,1.16,1.21,1.82,
2020-07-01,Netherlands,0.6,0.59,2,
2020-07-01,New Zealand,1.9,1.99,3.71,
2020-07-01,Nicaragua,4.71,5.48,1.58,
2020-07-01,Nigeria,5.23,5.65,3.17,
2020-07-01,Norway,0.81,0.86,1.57,
2020-07-01,Oman,2.47,2.94,4.03,
2020-07-01,Pakistan,2.64,3.22,6.08,
2020-07-01,Palestine,2.16,2.91,2.97,
2020-07-01,Panama,1.48,1.72,2.81,
2020-07-01,Paraguay,0.86,1.05,1.34,
2020-07-01,Peru,4.01,4.41,7.09,
2020-07-01,Philippines,0.75,0.78,2.45,
2020-07-01,Poland,0.53,0.6,1.32,
2020-07-01,Portugal,0.1,0.14,2.75,
2020-07-01,"Puerto Rico, U.S.",0.36,0.44,6.42,
2020-07-01,Qatar,0.5,0.84,6.74,
2020-07-01,Romania,0.25,0.27,2.02,
2020-07-01,Russia,1.65,1.8,6.37,
2020-07-01,Saudi Arabia,2.05,2.09,6.96,
2020-07-01,Senegal,2.37,2.38,3.43,
2020-07-01,Serbia,1.38,1.54,2.46,
2020-07-01,Singapore,0.27,0.28,4.15,
2020-07-01,Slovakia,0.48,0.42,0.86,
2020-07-01,Slovenia,0.55,0.61,1.31,
2020-07-01,South Africa,4.63,4.95,5.9,
2020-07-01,South Korea,0.62,0.87,0.97,
2020-07-01,Spain,0.39,0.42,4.18,
2020-07-01,Sri Lanka,0.92,0.92,1.73,
2020-07-01,Sudan,2.13,3.31,1.51,
2020-07-01,Sweden,1.08,1.2,3.57,
2020-07-01,Switzerland,0.6,0.57,2.13,
2020-07-01,Taiwan,0.16,0.14,0.37,
2020-07-01,Tanzania,5.53,5.92,6.77,
2020-07-01,Thailand,0.71,0.74,3.63,
2020-07-01,Tunisia,1.46,2.32,1.56,
2020-07-01,Turkey,0.65,0.77,1.93,
2020-07-01,Ukraine,0.82,0.89,1.7,
2020-07-01,United Arab Emirates,0.33,0.33,10.93,
2020-07-01,United Kingdom,0.46,0.47,2.29,
2020-07-01,Uruguay,0.73,0.87,1.09,
2020-07-01,Uzbekistan,0.63,0.89,3.45,
2020-07-01,Venezuela,0.9,1.14,3.66,
2020-07-01,Vietnam,0.44,0.59,2.78,
2020-07-01,Yemen,4.46,6.34,3.6,
2020-07-01,Zimbabwe,16.69,17.39,1.76,
2020-07-02,Afghanistan,14.7,15.64,12.71,
2020-07-02,Aland Islands,20.57,21.56,21.25,
2020-07-02,Albania,4.37,4.24,2.72,
2020-07-02,Algeria,3.8,4.53,2.55,
2020-07-02,American Samoa,20.21,23.24,15.88,
2020-07-02,Andorra,8.55,8.76,18.2,
2020-07-02,Angola,1.93,1.77,2.9,
2020-07-02,Argentina,0.65,0.71,1.65,
2020-07-02,Armenia,3.8,3.64,4.69,
2020-07-02,Australia,1.61,1.78,4.14,
2020-07-02,Austria,0.52,0.55,2.66,
2020-07-02,Azerbaijan,2.83,3.05,6.01,
2020-07-02,Bangladesh,4.42,4.42,5.63,
2020-07-02,Belarus,2.24,2.1,4.75,
2020-07-02,Belgium,0.42,0.5,3.36,
2020-07-02,Benin,6.1,5.86,5.41,
2020-07-02,Bolivia,4.92,5.54,3.71,
2020-07-02,Bosnia and Herzegovina,0.82,0.92,2.1,
2020-07-02,Brazil,1.78,1.97,4.47,
2020-07-02,Bulgaria,0.42,0.48,2.63,
2020-07-02,Burkina Faso,1.08,1.08,3.64,
2020-07-02,Cambodia,6.18,6.77,4.29,
2020-07-02,Cameroon,2.3,2.15,9.44,
2020-07-02,Canada,0.46,0.48,2.87,
2020-07-02,Chile,1.35,1.43,4.27,
2020-07-02,Colombia,1.66,1.88,2.41,
2020-07-02,Costa Rica,0.8,0.93,0.49,
2020-07-02,Croatia,0.87,1,0.52,
2020-07-02,Czech Republic,0.42,0.46,1.68,
2020-07-02,Côte d'Ivoire,2.72,3.17,6.39,
2020-07-02,Democratic Republic of the Congo,3.49,4.26,7.73,
2020-07-02,Denmark,0.51,0.61,5.44,
2020-07-02,Dominica,2.97,3.56,4.52,
2020-07-02,Dominican Republic,2.38,2.55,5.19,
2020-07-02,Ecuador,3.6,4.26,6.38,
2020-07-02,Egypt,2.25,2.47,2.92,
2020-07-02,El Salvador,4.86,5.45,1.9,
2020-07-02,Ethiopia,1.72,2.06,6.78,
2020-07-02,Finland,0.57,0.56,0.93,
2020-07-02,France,0.54,0.55,3.35,
2020-07-02,Germany,0.34,0.34,2.18,
2020-07-02,Ghana,2.61,2.69,4.93,
2020-07-02,Greece,0.18,0.19,2.26,
2020-07-02,Guatemala,1.81,2.33,2.04,
2020-07-02,Guinea,0.51,0.51,5.86,
2020-07-02,Haiti,3.04,3.04,3.26,
2020-07-02,Honduras,3.24,3.68,5.78,
2020-07-02,Hong Kong,0.18,0.25,1.56,
2020-07-02,Hungary,0.28,0.31,1.15,
2020-07-02,India,0.84,0.93,3.1,
2020-07-02,Indonesia,2,2.33,7.4,
2020-07-02,Iraq,3.52,3.93,5.01,
2020-07-02,Ireland,0.53,0.55,1.47,
2020-07-02,Israel,0.54,0.6,3.58,
2020-07-02,Italy,0.18,0.18,3.46,
2020-07-02,Japan,0.35,0.44,0.4,
2020-07-02,Jordan,1.28,1.36,3.55,
2020-07-02,Kazakhstan,7.75,8.4,7.74,
2020-07-02,Kenya,2.11,2.34,4.91,
2020-07-02,Kuwait,1.1,0.9,5.03,
2020-07-02,Kyrgyzstan,7.27,7.81,5.11,
2020-07-02,Laos,1.78,1.55,5.91,
2020-07-02,Lebanon,0.39,0.47,2.01,
2020-07-02,Libya,1.28,1.16,1.72,
2020-07-02,Madagascar,3.62,2.73,4.15,
2020-07-02,Malaysia,0.73,0.83,3.4,
2020-07-02,Mali,1.42,1.42,3.81,
2020-07-02,Mauritania,1.98,1.67,10.98,
2020-07-02,Mexico,2.24,2.6,2.26,
2020-07-02,Moldova,0.51,0.59,2.71,
2020-07-02,Morocco,1.25,1.42,4.72,
2020-07-02,Mozambique,1.18,1.31,4.58,
2020-07-02,Myanmar,2.83,2.9,6.72,
2020-07-02,Nepal,1.28,1.33,2.44,
2020-07-02,Netherlands,0.61,0.6,2.08,
2020-07-02,New Zealand,1.86,1.98,3.75,
2020-07-02,Nicaragua,4.41,5.19,1.77,
2020-07-02,Nigeria,4.98,5.41,3.31,
2020-07-02,Norway,0.71,0.75,1.53,
2020-07-02,Oman,2.4,2.89,4.37,
2020-07-02,Pakistan,2.72,3.29,6.86,
2020-07-02,Palestine,1.96,2.69,3.06,
2020-07-02,Panama,1.45,1.7,3.6,
2020-07-02,Paraguay,0.8,1.03,1.58,
2020-07-02,Peru,3.91,4.35,7.69,
2020-07-02,Philippines,0.78,0.82,2.93,
2020-07-02,Poland,0.53,0.58,1.52,
2020-07-02,Portugal,0.09,0.13,3.33,
2020-07-02,"Puerto Rico, U.S.",0.41,0.36,7.11,
2020-07-02,Qatar,0.49,0.78,7.52,
2020-07-02,Romania,0.3,0.31,2.4,
2020-07-02,Russia,1.62,1.68,6.9,
2020-07-02,Saudi Arabia,2.07,2.21,7.36,
2020-07-02,Senegal,2.22,2.35,4.25,
2020-07-02,Serbia,1.44,1.61,2.5,
2020-07-02,Singapore,0.25,0.21,4.78,
2020-07-02,Slovakia,0.43,0.34,1.05,
2020-07-02,Slovenia,0.51,0.67,1.58,
2020-07-02,South Africa,4.82,5.07,6.6,
2020-07-02,South Korea,0.54,0.74,1.11,
2020-07-02,Spain,0.33,0.36,4.85,
2020-07-02,Sri Lanka,0.45,0.45,1.94,
2020-07-02,Sudan,2.25,3.36,1.61,
2020-07-02,Sweden,1.08,1.21,3.86,
2020-07-02,Switzerland,0.56,0.52,2.39,
2020-07-02,Taiwan,0.18,0.16,0.42,
2020-07-02,Tanzania,5.79,5.79,8.43,
2020-07-02,Thailand,0.61,0.65,4.08,
2020-07-02,Tunisia,1.6,2.48,1.77,
2020-07-02,Turkey,0.56,0.63,2.08,
2020-07-02,Ukraine,0.78,0.88,1.82,
2020-07-02,United Arab Emirates,0.4,0.41,12.76,
2020-07-02,United Kingdom,0.46,0.49,2.56,
2020-07-02,Uruguay,0.58,0.75,1.14,
2020-07-02,Uzbekistan,0.55,0.85,4.11,
2020-07-02,Venezuela,0.9,1.11,4.07,
2020-07-02,Vietnam,0.51,0.66,3.2,
2020-07-02,Yemen,4.58,5.1,3.87,
2020-07-02,Zimbabwe,17.47,18.08,4.49,
2020-07-03,Afghanistan,13.42,14.19,13.46,
2020-07-03,Aland Islands,20.91,22,22.58,
2020-07-03,Albania,3.6,3.52,2.81,
2020-07-03,Algeria,3.8,4.54,3.08,
2020-07-03,American Samoa,19.91,22.86,16.05,
2020-07-03,Andorra,6.79,6.65,15.54,
2020-07-03,Angola,1.5,1.55,2.14,
2020-07-03,Argentina,0.61,0.7,1.84,
2020-07-03,Armenia,4.46,4.33,4.99,
2020-07-03,Australia,1.65,1.83,4.54,
2020-07-03,Austria,0.49,0.56,2.94,
2020-07-03,Azerbaijan,2.63,2.87,7.27,
2020-07-03,Bangladesh,4.15,4.21,5.87,
2020-07-03,Belarus,2.21,2.01,4.91,
2020-07-03,Belgium,0.4,0.48,3.54,
2020-07-03,Benin,6.51,6.25,5.73,
2020-07-03,Bolivia,4.94,5.59,4.12,
2020-07-03,Bosnia and Herzegovina,0.99,1.06,2.11,
2020-07-03,Brazil,1.78,1.97,4.85,
2020-07-03,Bulgaria,0.39,0.45,2.89,
2020-07-03,Burkina Faso,0.77,0.77,1.9,
2020-07-03,Cambodia,6.91,7.25,5.49,
2020-07-03,Cameroon,2.06,1.92,9.59,
2020-07-03,Canada,0.47,0.51,3.25,
2020-07-03,Chile,1.51,1.59,4.69,
2020-07-03,Colombia,1.72,2.04,2.68,
2020-07-03,Costa Rica,0.85,0.92,0.56,
2020-07-03,Croatia,0.89,1.02,0.69,
2020-07-03,Czech Republic,0.49,0.53,1.81,
2020-07-03,Côte d'Ivoire,3.2,3.69,7.48,
2020-07-03,Democratic Republic of the Congo,3.68,3.68,10.75,
2020-07-03,Denmark,0.56,0.65,5.9,
2020-07-03,Dominica,3.29,3.93,5.53,
2020-07-03,Dominican Republic,2.3,2.44,5.59,
2020-07-03,Ecuador,3.69,4.31,7.17,
2020-07-03,Egypt,2.12,2.38,3.26,
2020-07-03,El Salvador,4.71,5.47,1.95,
2020-07-03,Ethiopia,2.18,2.63,7.52,
2020-07-03,Finland,0.58,0.56,1.03,
2020-07-03,France,0.54,0.53,3.71,
2020-07-03,Germany,0.34,0.32,2.36,
2020-07-03,Ghana,2.63,2.7,5.21,
2020-07-03,Greece,0.19,0.19,2.6,
2020-07-03,Guatemala,1.61,2.17,2.16,
2020-07-03,Guinea,0.89,1.45,6.89,
2020-07-03,Haiti,3.73,3.91,3.33,
2020-07-03,Honduras,3.32,3.88,6.57,
2020-07-03,Hong Kong,0.32,0.38,1.79,
2020-07-03,Hungary,0.3,0.34,1.32,
2020-07-03,India,0.86,0.95,3.45,
2020-07-03,Indonesia,1.97,2.28,8.56,
2020-07-03,Iraq,3.35,3.7,5.56,
2020-07-03,Ireland,0.38,0.44,1.55,
2020-07-03,Israel,0.55,0.65,4.01,
2020-07-03,Italy,0.18,0.18,3.97,
2020-07-03,Japan,0.33,0.43,0.45,
2020-07-03,Jordan,1.27,1.39,4.1,
2020-07-03,Kazakhstan,7.93,8.29,7.43,
2020-07-03,Kenya,2.05,2.29,5.57,
2020-07-03,Kuwait,0.82,0.94,5.09,
2020-07-03,Kyrgyzstan,7.04,7.95,5.76,
2020-07-03,Laos,1.79,1.56,5.94,
2020-07-03,Lebanon,0.57,0.66,2.15,
2020-07-03,Libya,1.18,1.22,1.8,
2020-07-03,Madagascar,3.79,2.94,3.51,
2020-07-03,Malaysia,0.7,0.79,3.72,
2020-07-03,Mali,2.98,2.98,5.05,
2020-07-03,Mauritania,1.97,1.64,9.66,
2020-07-03,Mexico,2.28,2.67,2.44,
