date,country,pct_ili,pct_cli,pct_tested,region
2020-10-01,Afghanistan,18.14,18.4,17.06,
2020-10-01,Aland Islands,15.16,13.01,28.95,
2020-10-01,Albania,4.86,4.65,10.43,
2020-10-01,Algeria,5.95,6.61,5.62,
2020-10-01,American Samoa,17.29,18.54,18.38,
2020-10-01,Andorra,18.87,18.87,24.31,
2020-10-01,Angola,3.71,4.2,9.93,
2020-10-01,Argentina,1.7,1.83,5.15,
2020-10-01,Armenia,1.56,2.07,9.64,
2020-10-01,Australia,1.39,1.46,4.77,
2020-10-01,Austria,1.2,1.05,6.84,
2020-10-01,Azerbaijan,5.98,5.65,8.93,
2020-10-01,Bangladesh,5.96,6.13,6.77,
2020-10-01,Belarus,5.09,5.28,5.35,
2020-10-01,Belgium,0.59,0.57,7.89,
2020-10-01,Benin,3.14,3.14,5.49,
2020-10-01,Bolivia,4.69,4.91,7.71,
2020-10-01,Bosnia and Herzegovina,2.04,1.95,3.64,
2020-10-01,Brazil,1.4,1.46,5.02,
2020-10-01,Bulgaria,1.09,1.13,2.98,
2020-10-01,Burkina Faso,3.92,3.92,7.36,
2020-10-01,Cambodia,4.32,4.88,5.31,
2020-10-01,Cameroon,2.13,2.86,12.38,
2020-10-01,Canada,0.76,0.79,4.95,
2020-10-01,Chile,1.02,1.15,7.09,
2020-10-01,Colombia,2.59,3.05,5.27,
2020-10-01,Costa Rica,2.59,3.09,4.21,
2020-10-01,Croatia,1.69,1.88,1.96,
2020-10-01,Czech Republic,1.34,1.36,4.36,
2020-10-01,Côte d'Ivoire,4.65,4.96,10.72,
2020-10-01,Democratic Republic of the Congo,1.24,1.25,9.29,
2020-10-01,Denmark,1.53,1.67,13.07,
2020-10-01,Dominican Republic,2.14,2.39,6.39,
2020-10-01,Ecuador,3.23,3.61,8.12,
2020-10-01,Egypt,2.53,2.83,3.62,
2020-10-01,El Salvador,3.01,3.7,3.9,
2020-10-01,Ethiopia,2.51,2.3,11.58,
