date,country,pct_ili,pct_cli,pct_tested,region
2020-11-01,Afghanistan,17.4,17.91,16.22,
2020-11-01,Aland Islands,13.6,17.07,28.46,
2020-11-01,Albania,8.45,8.95,12.53,
2020-11-01,Algeria,6.23,6.8,5.98,
2020-11-01,American Samoa,11.56,11.56,33.54,
2020-11-01,Andorra,12.49,13.23,33.46,
2020-11-01,Angola,1.86,2.2,11.45,
2020-11-01,Argentina,1.53,1.76,5.42,
2020-11-01,Armenia,10.19,10.36,13.48,
2020-11-01,Australia,1.52,1.62,4.41,
2020-11-01,Austria,1.95,1.96,7.67,
2020-11-01,Azerbaijan,4.34,4.99,10.16,
2020-11-01,Bangladesh,7.25,7.4,5.79,
2020-11-01,Belarus,6.73,7.74,10.55,
2020-11-01,Belgium,1.49,1.64,11.08,
2020-11-01,Benin,2.1,2.1,8.44,
2020-11-01,Bolivia,4.13,4.56,6.57,
2020-11-01,Bosnia and Herzegovina,3.2,3.54,8.08,
2020-11-01,Brazil,1.63,1.8,4.87,
2020-11-01,Bulgaria,1.83,1.82,7.91,
2020-11-01,Burkina Faso,7.26,7.26,5.06,
2020-11-01,Cambodia,6.1,7.08,4.67,
2020-11-01,Cameroon,3.95,4.44,5.75,
2020-11-01,Canada,0.67,0.65,4.07,
2020-11-01,Chile,0.97,1.14,7.57,
2020-11-01,Colombia,2.76,3.05,6.22,
2020-11-01,Costa Rica,2.9,3.2,4.44,
2020-11-01,Croatia,2.42,2.55,4.37,
2020-11-01,Czech Republic,1.87,1.85,9.82,
2020-11-01,Côte d'Ivoire,3.9,3.68,6.19,
2020-11-01,Democratic Republic of the Congo,3.73,3.73,9.45,
2020-11-01,Denmark,0.88,0.96,14.54,
2020-11-01,Dominican Republic,2.35,2.77,6.59,
2020-11-01,Ecuador,2.7,3.09,7.15,
2020-11-01,Egypt,2.62,3.14,3.06,
2020-11-01,El Salvador,3.03,3.43,3.4,
2020-11-01,Ethiopia,2.63,2.32,10.26,
2020-11-01,Finland,0.58,0.7,4.82,
2020-11-01,France,1.26,1.34,9.36,
2020-11-01,Germany,0.62,0.64,6.58,
2020-11-01,Ghana,3.69,3.42,4.81,
2020-11-01,Greece,0.49,0.55,6.32,
2020-11-01,Guatemala,3.79,4.48,7.86,
2020-11-01,Haiti,3.68,3.68,5.11,
2020-11-01,Honduras,4.55,4.79,12.73,
2020-11-01,Hong Kong,0.38,0.32,5.39,
2020-11-01,Hungary,1.42,1.44,4.69,
2020-11-01,India,2.42,2.7,8.69,
2020-11-01,Indonesia,2.07,2.13,12.1,
2020-11-01,Iraq,9.84,12.46,13.7,
2020-11-01,Ireland,0.68,0.71,5.69,
2020-11-01,Israel,0.94,1.12,7.35,
2020-11-01,Italy,0.82,0.93,8.95,
2020-11-01,Japan,0.51,0.62,0.97,
2020-11-01,Jordan,7.45,7.94,12.29,
2020-11-01,Kazakhstan,1.84,1.85,7.34,
2020-11-01,Kenya,5.27,5.63,9.44,
2020-11-01,Kuwait,1.35,1.35,18.37,
2020-11-01,Kyrgyzstan,4.65,5.26,6.77,
2020-11-01,Laos,6.83,5.93,5.58,
2020-11-01,Lebanon,1.53,1.78,12.96,
2020-11-01,Libya,4.81,5.24,7.95,
2020-11-01,Madagascar,0.54,0.54,6.66,
2020-11-01,Malaysia,0.95,1.16,5.5,
2020-11-01,Mali,6.31,7.25,6.64,
2020-11-01,Mauritania,6.44,6.44,15.67,
2020-11-01,Mexico,2,2.25,3.9,
2020-11-01,Moldova,4.66,4.76,10.17,
2020-11-01,Morocco,3.43,4.07,10.09,
2020-11-01,Mozambique,2.1,2,10.18,
2020-11-01,Myanmar,4.68,4.69,8.07,
2020-11-01,Nepal,3.46,3.62,9.41,
2020-11-01,Netherlands,1.11,1.19,7.99,
2020-11-01,New Zealand,1.64,1.74,2.82,
2020-11-01,Nicaragua,1.77,2.46,2.1,
2020-11-01,Nigeria,8.12,8.36,6.31,
2020-11-01,Norway,1.37,1.53,5.09,
2020-11-01,Oman,5.15,5.15,9.25,
2020-11-01,Pakistan,6.12,6.54,7.42,
2020-11-01,Palestine,3.72,4.32,8.19,
2020-11-01,Panama,2.49,2.97,9.9,
2020-11-01,Paraguay,1.94,2.08,5.9,
2020-11-01,Peru,3.52,4,9.52,
2020-11-01,Philippines,0.8,0.87,4.8,
2020-11-01,Poland,3.86,4.14,8.2,
2020-11-01,Portugal,0.44,0.5,5.78,
2020-11-01,"Puerto Rico, U.S.",0.82,0.81,14.46,
2020-11-01,Qatar,0.78,1.71,13.39,
2020-11-01,Romania,1.05,1.09,6.84,
2020-11-01,Russia,5.55,5.89,13.55,
2020-11-01,Saudi Arabia,2.33,2.47,13.19,
2020-11-01,Senegal,4.68,4.68,5.43,
2020-11-01,Serbia,1.55,1.66,3.78,
2020-11-01,Singapore,0.6,0.6,7.18,
2020-11-01,Slovakia,0.78,1.14,24.71,
2020-11-01,Slovenia,1.59,1.38,4.84,
2020-11-01,South Africa,3.37,3.76,5.5,
2020-11-01,South Korea,0.4,0.58,2.14,
2020-11-01,Spain,0.71,0.82,8.42,
2020-11-01,Sri Lanka,0.59,0.57,1.89,
2020-11-01,Sudan,3.92,5.45,3.7,
2020-11-01,Sweden,1.87,2.15,6.24,
2020-11-01,Switzerland,1.33,1.5,7.95,
2020-11-01,Taiwan,0.3,0.32,0.72,
2020-11-01,Tanzania,7.33,7.33,11.43,
2020-11-01,Thailand,1.26,1.45,3.48,
2020-11-01,Tunisia,2.85,3.23,5.84,
2020-11-01,Turkey,1.88,2.08,6.43,
2020-11-01,Ukraine,5.61,5.92,7.99,
2020-11-01,United Arab Emirates,1.5,1.88,25.89,
2020-11-01,United Kingdom,1.04,1.14,6.71,
2020-11-01,Uruguay,0.38,0.42,2.89,
2020-11-01,Uzbekistan,4.21,4.21,19.78,
2020-11-01,Venezuela,1.96,2.19,5.04,
2020-11-01,Vietnam,1.23,1.24,3.55,
2020-11-01,Yemen,7.61,8.63,2.3,
2020-11-01,Zimbabwe,13.23,11.07,29.59,
2020-11-02,Afghanistan,18.71,18.85,16.22,
2020-11-02,Aland Islands,18.83,21.97,24.21,
2020-11-02,Albania,6.47,7.05,11.17,
2020-11-02,Algeria,6.35,6.74,6.51,
2020-11-02,American Samoa,15.5,15.5,34.64,
2020-11-02,Andorra,12.44,13.11,38.18,
2020-11-02,Angola,2.56,2.58,12.31,
2020-11-02,Argentina,1.58,1.83,5.14,
2020-11-02,Armenia,9.26,9.55,14.38,
2020-11-02,Australia,1.44,1.54,4.22,
2020-11-02,Austria,1.83,1.81,7.52,
2020-11-02,Azerbaijan,5.07,5.27,11.47,
2020-11-02,Bangladesh,7.87,8.12,5.75,
2020-11-02,Belarus,7.65,8.67,10.33,
2020-11-02,Belgium,1.42,1.58,10.63,
2020-11-02,Benin,2.16,2.16,9.31,
2020-11-02,Bolivia,3.66,4.04,6.61,
2020-11-02,Bosnia and Herzegovina,3.09,3.34,8.52,
2020-11-02,Brazil,1.61,1.82,4.89,
2020-11-02,Bulgaria,1.8,1.85,7.71,
2020-11-02,Burkina Faso,6.67,6.67,5.76,
2020-11-02,Cambodia,5.62,7.55,5.19,
2020-11-02,Cameroon,4.07,4.72,6.96,
2020-11-02,Canada,0.9,0.9,4.26,
2020-11-02,Chile,0.89,0.95,7.62,
2020-11-02,Colombia,2.63,3.01,6.25,
2020-11-02,Costa Rica,2.92,2.94,4.33,
2020-11-02,Croatia,2.43,2.56,4.49,
2020-11-02,Czech Republic,1.87,1.88,10.04,
2020-11-02,Côte d'Ivoire,4.13,3.91,5.92,
2020-11-02,Democratic Republic of the Congo,3.48,3.48,10.46,
2020-11-02,Denmark,0.84,0.95,14.45,
2020-11-02,Dominican Republic,2.45,2.94,6.57,
2020-11-02,Ecuador,2.68,3.23,7.35,
2020-11-02,Egypt,2.42,2.82,3.13,
2020-11-02,El Salvador,3.51,3.8,3.41,
2020-11-02,Ethiopia,2.53,2.23,10.02,
2020-11-02,Finland,0.6,0.71,4.91,
2020-11-02,France,1.27,1.34,9.52,
2020-11-02,Germany,0.61,0.64,6.6,
2020-11-02,Ghana,3.24,3,4.65,
2020-11-02,Greece,0.57,0.63,6.46,
2020-11-02,Guatemala,3.67,4.33,7.41,
2020-11-02,Haiti,2.43,2.88,5.3,
2020-11-02,Honduras,4.6,4.9,13.52,
2020-11-02,Hong Kong,0.43,0.36,5.54,
2020-11-02,Hungary,1.49,1.51,4.58,
2020-11-02,India,2.33,2.57,8.73,
2020-11-02,Indonesia,2.16,2.19,11.67,
2020-11-02,Iraq,9.36,11.92,13.96,
2020-11-02,Ireland,0.69,0.71,5.79,
2020-11-02,Israel,1.09,1.25,7.73,
2020-11-02,Italy,0.81,0.92,9,
2020-11-02,Japan,0.61,0.73,0.97,
2020-11-02,Jordan,7.14,7.79,12.99,
2020-11-02,Kazakhstan,1.66,1.68,8.03,
2020-11-02,Kenya,5.16,5.48,9.45,
2020-11-02,Kuwait,1.23,1.23,16.97,
2020-11-02,Kyrgyzstan,4.39,4.61,6.9,
2020-11-02,Laos,5.1,5.1,4.87,
2020-11-02,Lebanon,2.18,2.4,13.12,
2020-11-02,Libya,4.52,5.12,7.35,
2020-11-02,Madagascar,0.46,0.46,5.59,
2020-11-02,Malaysia,0.97,1.13,5.31,
2020-11-02,Mali,5.95,6.9,6.28,
2020-11-02,Mauritania,7.96,7.96,16.19,
2020-11-02,Mexico,2.03,2.32,3.94,
2020-11-02,Moldova,4.21,4.41,10.55,
2020-11-02,Morocco,3.58,4.12,9.58,
2020-11-02,Mozambique,1.9,2.38,10.61,
2020-11-02,Myanmar,4.81,4.79,8.69,
2020-11-02,Nepal,3.25,3.4,9.38,
2020-11-02,Netherlands,1.18,1.27,8.24,
2020-11-02,New Zealand,1.8,1.85,2.8,
2020-11-02,Nicaragua,1.98,2.72,1.72,
2020-11-02,Nigeria,8.15,8.1,6.1,
2020-11-02,Norway,1.51,1.65,5.11,
2020-11-02,Oman,4.8,4.8,10.14,
2020-11-02,Pakistan,6.09,6.39,7.13,
2020-11-02,Palestine,4.54,5.04,8.92,
2020-11-02,Panama,2.33,2.77,8.91,
2020-11-02,Paraguay,2.64,2.88,6.81,
2020-11-02,Peru,3.52,4.04,9.61,
2020-11-02,Philippines,0.77,0.8,4.84,
2020-11-02,Poland,3.85,4.1,8.25,
2020-11-02,Portugal,0.45,0.49,5.68,
2020-11-02,"Puerto Rico, U.S.",0.84,0.86,14.09,
2020-11-02,Qatar,0.91,1.77,10.89,
2020-11-02,Romania,0.99,1.03,6.7,
2020-11-02,Russia,5.67,5.91,13.63,
2020-11-02,Saudi Arabia,2.51,2.45,11.94,
2020-11-02,Senegal,6.21,6.21,5.71,
2020-11-02,Serbia,1.52,1.62,3.79,
2020-11-02,Singapore,0.56,0.56,7.01,
2020-11-02,Slovakia,0.93,1.26,31.01,
2020-11-02,Slovenia,1.25,1.11,4.63,
2020-11-02,South Africa,3.36,3.81,6.11,
2020-11-02,South Korea,0.33,0.54,2.04,
2020-11-02,Spain,0.73,0.83,8.43,
2020-11-02,Sri Lanka,0.51,0.5,2.39,
2020-11-02,Sudan,4.16,5.33,3.56,
2020-11-02,Sweden,1.86,2.19,6.34,
2020-11-02,Switzerland,1.42,1.52,7.86,
2020-11-02,Taiwan,0.3,0.31,0.81,
2020-11-02,Tanzania,7.41,7.41,9.81,
2020-11-02,Thailand,1.37,1.63,3.21,
2020-11-02,Tunisia,2.69,3.03,5.94,
2020-11-02,Turkey,1.74,1.96,6.44,
2020-11-02,Ukraine,5.38,5.67,8,
2020-11-02,United Arab Emirates,1.38,1.88,26.02,
2020-11-02,United Kingdom,1,1.12,6.79,
2020-11-02,Uruguay,0.51,0.55,2.92,
2020-11-02,Uzbekistan,4.78,4.78,18.12,
2020-11-02,Venezuela,1.89,2.05,4.61,
2020-11-02,Vietnam,1.21,1.25,3.55,
2020-11-02,Yemen,8.09,9.15,2.45,
2020-11-02,Zimbabwe,12.61,10.64,29.99,
2020-11-03,Afghanistan,17.8,17.78,16.28,
2020-11-03,Aland Islands,23.58,20.26,25.5,
2020-11-03,Albania,6.67,6.86,12.55,
2020-11-03,Algeria,6.61,7.11,7.25,
2020-11-03,American Samoa,13.23,14.23,30.3,
2020-11-03,Andorra,10.97,11.65,29.39,
2020-11-03,Angola,2.63,2.49,11.89,
2020-11-03,Argentina,1.44,1.69,5.02,
2020-11-03,Armenia,9.05,9.23,15.68,
2020-11-03,Australia,1.51,1.57,4.06,
2020-11-03,Austria,1.07,1.1,7.53,
2020-11-03,Azerbaijan,3.76,2.91,11.35,
2020-11-03,Bangladesh,7.78,7.91,6.61,
2020-11-03,Belarus,7.63,8.66,10.55,
2020-11-03,Belgium,1.37,1.55,10.47,
2020-11-03,Benin,2.97,2.97,7.6,
2020-11-03,Bolivia,4.1,4.38,6.67,
2020-11-03,Bosnia and Herzegovina,3.35,3.53,8.99,
2020-11-03,Brazil,1.65,1.84,4.91,
2020-11-03,Bulgaria,2.11,2.15,8.48,
2020-11-03,Burkina Faso,7.07,7.07,4.93,
2020-11-03,Cambodia,5.65,7.66,6.56,
2020-11-03,Cameroon,3.77,4.21,7.67,
2020-11-03,Canada,0.95,0.94,4.33,
2020-11-03,Chile,1.01,1.04,7.96,
2020-11-03,Colombia,2.52,2.83,6.22,
2020-11-03,Costa Rica,2.78,2.8,3.9,
2020-11-03,Croatia,2.36,2.51,4.79,
2020-11-03,Czech Republic,1.9,1.92,10.13,
2020-11-03,Côte d'Ivoire,4.01,3.78,6.51,
