Question_number,Question_text,Question_ID,Answer_text,Answer_value,Response
,Have you taken a COVID-19 antibody test?,test1,Yes,1,"You took an antibody test, which by itself provides an answer as to whether you have COVID-19 antibodies with a reasonable level of accuracy. However, these tests are not perfectly sensitive or specific, and by answering the other questions in this questionnaire you have improved the accuracy of your diagnosis considerably. "
,Have you taken a COVID-19 antibody test?,test1,No,0,"You didn't take an antibody test, which makes it difficult to predict whether you have had COVID-19. As you will notice, the uncertainty around your diagnosis is quite high because of this, and the best way to be more certain is to take an antibody test alongside filling out this questionnaire. "
,"If you have taken an antibody test, what was your result?",test,Negative (only the control line),0,"Your negative antibody test result makes it less likely that you have had COVID-19, however these tests do not detect everyone who has had COVID-19 as not everyone develops high levels of antibodies and they can also take up to a few weeks to accumulate after symptoms develop as well fade over time, sometimes within a few months. "
,"If you have taken an antibody test, what was your result?",test,Positive (control + IgG and/or IgM line),1,"Your positive antibody test result makes it much more likely that you have had COVID-19, however these tests do sometimes produce false positives. By answering the other questions in this questionnaire, such as where and when you think you were ill with COVID-19, what symptoms you had, and how long they lasted, this algorithm can increase the certainty of your diagnosis. "
,"If you have taken an antibody test, what was your result?",test,I haven't taken any antibody tests,2,"You didn't take an antibody test, which makes it difficult to predict whether you have had COVID-19. As you will notice, the uncertainty around your diagnosis is quite high because of this, and the best way to be more certain is to take an antibody test alongside filling out this questionnaire. "
,How are you feeling? Have you been ill with anything since January 2020?,symptomatic,"I'm fine, haven't been ill at all since the pandemic began",0,You stated that you hadn't been ill at all since the pandemic began.
,How are you feeling? Have you been ill with anything since January 2020?,symptomatic,I'm beginning to feel ill,1,You stated that you were feeling ill.
,"If applicable, how long after your first symptoms did you take the test?",label_t,NA,missing,
,"If applicable, how long after your first symptoms did you take the test?",label_t,I've never felt ill,asymptomatic,
,"If applicable, how long after your first symptoms did you take the test?",label_t,Less than 10 days,2-10 days,Less than 10 days is usually too short a time period to wait before getting an antibody test. Taking an antibody test is best done around 3 weeks after symptoms started. 
,"If applicable, how long after your first symptoms did you take the test?",label_t,11-20 days,11-20 days,"Antibody levels usually rise 10 days or so after first COVID symptoms, but they may take longer and so taking an antibody test is best done around 3 weeks after symptoms started. "
,"If applicable, how long after your first symptoms did you take the test?",label_t,21+ days,21+ days,"Waiting 3 weeks from first symptoms to getting an antibody test, as you did, gives your body enough time to produce antibodies in high enough levels to be detectable, however, in many people antibody levels decline after a few months. "
