date,country,pct_ili,pct_cli,pct_tested,region
2020-04-29,Afghanistan,9.69,10.02,6.45,
2020-04-29,Albania,1.29,1.29,0.98,
2020-04-29,Algeria,2.41,2.82,0.52,
2020-04-29,Angola,1.25,1.25,0.66,
2020-04-29,Argentina,0.42,0.5,0.19,
2020-04-29,Armenia,0.74,0.87,0.48,
2020-04-29,Australia,1.31,1.39,1.51,
2020-04-29,Austria,0.66,0.87,1.16,
2020-04-29,Azerbaijan,0.6,0.85,1.11,
2020-04-29,Bangladesh,3.84,3.94,2.02,
2020-04-29,Belarus,3.26,3.65,1.17,
2020-04-29,Belgium,0.78,0.82,1.22,
2020-04-29,Benin,1.13,1.13,1.87,
2020-04-29,Bolivia,1.35,1.76,0.22,
2020-04-29,Bosnia and Herzegovina,1.3,1.55,0.57,
2020-04-29,Brazil,2.17,2.3,0.52,
2020-04-29,Bulgaria,0.5,0.5,0.42,
2020-04-29,Burkina Faso,0.07,0.51,0.9,
2020-04-29,Cambodia,4.81,3.42,1.98,
2020-04-29,Cameroon,3.11,3.75,3.64,
2020-04-29,Canada,0.7,0.74,0.79,
2020-04-29,Chile,0.76,0.86,0.69,
2020-04-29,Colombia,0.78,1.09,0.19,
2020-04-29,Costa Rica,0.86,0.9,0.28,
2020-04-29,Croatia,0.92,0.82,0.5,
2020-04-29,Czech Republic,0.5,0.56,0.96,
2020-04-29,Côte d'Ivoire,1.57,1.32,2.65,
2020-04-29,Democratic Republic of the Congo,2.16,2.56,6.49,
2020-04-29,Denmark,0.66,0.74,2.08,
2020-04-29,Dominica,3.08,5.06,1.98,
2020-04-29,Dominican Republic,1.38,1.27,0.74,
2020-04-29,Ecuador,3.45,4.02,0.85,
2020-04-29,Egypt,0.84,1.04,0.45,
2020-04-29,El Salvador,0.79,0.91,0.31,
2020-04-29,Ethiopia,1.44,1.25,2.72,
2020-04-29,Finland,0.78,1.11,1.02,
2020-04-29,France,0.78,0.86,0.72,
2020-04-29,Germany,0.36,0.38,0.75,
2020-04-29,Ghana,0.78,0.9,0.43,
2020-04-29,Greece,0.23,0.26,0.26,
2020-04-29,Guatemala,0.5,0.75,0.72,
2020-04-29,Guinea,2.23,2.98,3.19,
2020-04-29,Haiti,0.48,0.91,0.89,
2020-04-29,Honduras,0.49,0.73,0.26,
2020-04-29,Hong Kong,0.54,0.54,0.67,
2020-04-29,Hungary,0.22,0.23,0.36,
2020-04-29,India,0.89,0.94,0.55,
2020-04-29,Indonesia,1.52,1.61,1.72,
2020-04-29,Iraq,1.56,1.82,1.68,
2020-04-29,Ireland,0.66,0.66,0.91,
2020-04-29,Israel,0.92,0.96,1.06,
2020-04-29,Italy,0.27,0.31,0.65,
2020-04-29,Japan,0.77,0.95,0.18,
2020-04-29,Jordan,0.88,0.87,0.71,
2020-04-29,Kazakhstan,0.5,0.55,0.88,
2020-04-29,Kenya,2.36,2.37,1.58,
2020-04-29,Kuwait,1,1.14,2.93,
2020-04-29,Kyrgyzstan,0.89,1,1.28,
2020-04-29,Laos,0.79,1.69,1.45,
2020-04-29,Lebanon,0.56,0.55,0.67,
2020-04-29,Libya,1.07,1.38,0.49,
2020-04-29,Madagascar,1.95,1.95,0.02,
2020-04-29,Malaysia,0.62,0.76,0.74,
2020-04-29,Mali,0.7,0.85,2.03,
2020-04-29,Mauritania,0,1.14,0,
2020-04-29,Mexico,1.07,1.29,0.41,
2020-04-29,Moldova,0.3,0.61,0.23,
2020-04-29,Morocco,1.51,1.61,0.24,
2020-04-29,Mozambique,1.4,1.74,1.23,
2020-04-29,Myanmar,4.1,4.01,2.7,
2020-04-29,Nepal,0.51,0.51,0.22,
2020-04-29,Netherlands,0.75,0.71,0.71,
2020-04-29,New Zealand,1.02,1.08,1.88,
2020-04-29,Nicaragua,1.26,1.67,0.14,
2020-04-29,Nigeria,3.62,3.8,0.86,
2020-04-29,Norway,1.16,1.22,1,
2020-04-29,Oman,0.58,0.58,1.17,
2020-04-29,Pakistan,1.93,2.2,1.93,
2020-04-29,Palestine,1.87,1.72,0.56,
2020-04-29,Panama,1.25,1.84,0.78,
2020-04-29,Paraguay,0.63,0.91,0.29,
2020-04-29,Peru,2.37,2.89,0.74,
2020-04-29,Philippines,0.53,0.56,0.28,
2020-04-29,Poland,0.49,0.61,0.32,
2020-04-29,Portugal,0.12,0.11,0.8,
2020-04-29,"Puerto Rico, U.S.",0.53,0.58,1.02,
2020-04-29,Qatar,1.1,1.1,1.39,
2020-04-29,Romania,0.33,0.35,0.3,
2020-04-29,Russia,2,2.33,1.28,
2020-04-29,Saudi Arabia,0.83,0.68,2.22,
2020-04-29,Senegal,2.15,1.51,0.82,
2020-04-29,Serbia,0.89,1,0.34,
2020-04-29,Singapore,0.46,0.63,1.3,
2020-04-29,Slovakia,0.21,0.54,0.58,
2020-04-29,Slovenia,0.4,0.75,0.11,
2020-04-29,South Africa,1.81,2.06,1.01,
2020-04-29,South Korea,0.59,0.79,0.34,
2020-04-29,Spain,0.81,0.89,0.89,
2020-04-29,Sri Lanka,0.59,0.76,0.5,
2020-04-29,Sudan,1.66,2.19,0.59,
2020-04-29,Sweden,2.51,2.69,0.5,
2020-04-29,Switzerland,0.24,0.2,0.9,
2020-04-29,Taiwan,0.21,0.22,0.19,
2020-04-29,Tanzania,3.93,4.13,1.65,
2020-04-29,Thailand,0.63,0.71,0.78,
2020-04-29,Tunisia,0.99,1.16,0.25,
2020-04-29,Turkey,0.79,0.88,0.46,
2020-04-29,Ukraine,1.18,1.4,0.25,
2020-04-29,United Arab Emirates,1.86,1.88,2.33,
2020-04-29,United Kingdom,1,1.12,0.71,
2020-04-29,Uruguay,0.67,0.74,0.25,
2020-04-29,Uzbekistan,0.74,1.53,0.55,
2020-04-29,Venezuela,0.42,0.45,0.78,
2020-04-29,Vietnam,0.44,0.43,1.01,
2020-04-29,Yemen,2.21,3.32,1.19,
2020-04-30,Afghanistan,9.22,9.74,6.59,
2020-04-30,Albania,1.83,1.9,1.27,
2020-04-30,Algeria,2.24,2.55,0.5,
2020-04-30,Angola,1.2,1.25,0.82,
2020-04-30,Argentina,0.4,0.46,0.18,
2020-04-30,Armenia,0.66,0.78,0.45,
2020-04-30,Australia,1.42,1.46,1.56,
2020-04-30,Austria,0.65,0.87,1.06,
2020-04-30,Azerbaijan,0.54,0.7,0.84,
2020-04-30,Bangladesh,3.82,3.88,1.83,
2020-04-30,Belarus,3.12,3.51,1.33,
2020-04-30,Belgium,0.83,0.88,1.2,
2020-04-30,Benin,1.03,1.03,1.71,
2020-04-30,Bolivia,1.45,1.84,0.24,
2020-04-30,Bosnia and Herzegovina,1.79,2.03,0.55,
2020-04-30,Brazil,2.17,2.31,0.52,
2020-04-30,Bulgaria,0.51,0.51,0.41,
2020-04-30,Burkina Faso,0,0,0.95,
2020-04-30,Cambodia,5.45,4.25,1.98,
2020-04-30,Cameroon,3.03,3.53,4.72,
2020-04-30,Canada,0.73,0.77,0.86,
2020-04-30,Chile,0.8,0.89,0.66,
2020-04-30,Colombia,0.79,1.05,0.18,
2020-04-30,Costa Rica,0.9,0.93,0.27,
2020-04-30,Croatia,0.91,0.82,0.51,
2020-04-30,Czech Republic,0.49,0.54,1.04,
2020-04-30,Côte d'Ivoire,1.31,1.31,2.23,
2020-04-30,Democratic Republic of the Congo,2.35,2.78,5.26,
2020-04-30,Denmark,0.67,0.76,2.09,
2020-04-30,Dominica,6.21,7.98,3.09,
2020-04-30,Dominican Republic,1.3,1.32,0.75,
2020-04-30,Ecuador,3.66,4.29,0.94,
2020-04-30,Egypt,0.74,1.07,0.45,
2020-04-30,El Salvador,0.72,0.82,0.29,
2020-04-30,Ethiopia,1.45,1.26,2.63,
2020-04-30,Finland,0.74,1,1.06,
2020-04-30,France,0.83,0.92,0.82,
2020-04-30,Germany,0.35,0.37,0.73,
2020-04-30,Ghana,0.85,0.97,0.74,
2020-04-30,Greece,0.23,0.28,0.33,
2020-04-30,Guatemala,0.41,0.69,0.58,
2020-04-30,Guinea,2.91,3.77,2.47,
