date,country,pct_ili,pct_cli,pct_tested,region
2020-05-01,Afghanistan,9.63,9.65,6.99,
2020-05-01,Albania,2.26,2.32,1.02,
2020-05-01,Algeria,1.75,1.8,0.45,
2020-05-01,Angola,0.98,1.04,0.69,
2020-05-01,Argentina,0.41,0.46,0.17,
2020-05-01,Armenia,0.85,0.85,0.64,
2020-05-01,Australia,1.35,1.37,1.39,
2020-05-01,Austria,0.47,0.57,0.98,
2020-05-01,Azerbaijan,0.63,0.79,0.61,
2020-05-01,Bahamas,8.06,8.06,8.11,
2020-05-01,Bahrain,5.8,5.61,0.62,
2020-05-01,Bangladesh,3.99,4.13,1.65,
2020-05-01,Belarus,2.96,3.45,1.48,
2020-05-01,Belgium,0.9,0.93,1.26,
2020-05-01,Benin,0.9,0.9,2.56,
2020-05-01,Bolivia,1.2,1.58,0.19,
2020-05-01,Bosnia and Herzegovina,2,2.24,0.43,
2020-05-01,Brazil,2.17,2.31,0.55,
2020-05-01,Bulgaria,0.52,0.52,0.49,
2020-05-01,Burkina Faso,0.71,0.88,0.64,
2020-05-01,Cambodia,4.86,3.57,2.11,
2020-05-01,Cameroon,2.53,3.09,5.21,
2020-05-01,Canada,0.75,0.8,0.94,
2020-05-01,Chile,0.72,0.82,0.71,
2020-05-01,Colombia,0.89,1.13,0.16,
2020-05-01,Costa Rica,0.85,0.91,0.25,
2020-05-01,Croatia,1.39,1.29,0.45,
2020-05-01,Czech Republic,0.47,0.54,1.12,
2020-05-01,Côte d'Ivoire,1.33,1.33,2.63,
2020-05-01,Democratic Republic of the Congo,2.19,2.59,4.91,
2020-05-01,Denmark,0.58,0.68,1.95,
2020-05-01,Dominica,6.43,8.26,3.2,
2020-05-01,Dominican Republic,1.21,1.25,0.47,
2020-05-01,Ecuador,3.74,4.44,1.05,
2020-05-01,Egypt,0.83,1.14,0.45,
2020-05-01,El Salvador,0.64,0.91,0.29,
2020-05-01,Ethiopia,1.01,0.8,2.31,
2020-05-01,Finland,0.78,0.91,0.94,
2020-05-01,France,0.82,0.92,0.83,
2020-05-01,Germany,0.35,0.35,0.79,
2020-05-01,Ghana,0.88,0.75,1.06,
2020-05-01,Greece,0.19,0.25,0.34,
2020-05-01,Guatemala,0.44,0.69,0.51,
2020-05-01,Guinea,3.04,3.21,2.25,
2020-05-01,Haiti,0.73,1.25,0.99,
2020-05-01,Honduras,0.55,0.81,0.2,
2020-05-01,Hong Kong,0.53,0.69,0.65,
2020-05-01,Hungary,0.21,0.26,0.37,
2020-05-01,India,0.87,0.93,0.53,
2020-05-01,Indonesia,1.57,1.64,1.73,
2020-05-01,Iraq,1.5,1.74,2.01,
2020-05-01,Ireland,0.45,0.47,0.9,
2020-05-01,Israel,0.49,0.51,0.97,
2020-05-01,Italy,0.27,0.34,0.65,
2020-05-01,Japan,0.69,0.88,0.14,
2020-05-01,Jordan,0.9,0.84,0.68,
2020-05-01,Kazakhstan,0.63,0.67,0.9,
2020-05-01,Kenya,1.93,1.98,1.55,
2020-05-01,Kuwait,0.72,0.81,2.89,
2020-05-01,Kyrgyzstan,0.48,0.58,1.02,
2020-05-01,Laos,0.84,1.05,1.25,
2020-05-01,Lebanon,0.87,0.78,0.49,
2020-05-01,Libya,1.01,1.32,0.55,
2020-05-01,Madagascar,0.45,0.45,0.02,
2020-05-01,Malaysia,0.75,0.89,0.59,
2020-05-01,Mali,1.38,0.72,2.29,
2020-05-01,Mauritania,0,1,0,
2020-05-01,Mexico,1.15,1.37,0.25,
2020-05-01,Moldova,0.38,0.66,0.3,
2020-05-01,Morocco,1.44,1.49,0.18,
2020-05-01,Mozambique,1.34,1.28,0.74,
2020-05-01,Myanmar,3.58,3.49,2.58,
2020-05-01,Nepal,0.52,0.52,0.24,
2020-05-01,Netherlands,0.7,0.7,0.75,
2020-05-01,New Zealand,0.92,1.02,1.81,
2020-05-01,Nicaragua,1.34,1.94,0.27,
2020-05-01,Nigeria,3.24,3.31,1.31,
2020-05-01,Norway,1.15,1.22,0.85,
2020-05-01,Oman,0.02,0.02,0.77,
2020-05-01,Pakistan,2.02,2.26,2.11,
2020-05-01,Palestine,2.3,2.34,0.71,
2020-05-01,Panama,2.01,2.48,1.34,
2020-05-01,Paraguay,0.51,0.74,0.28,
2020-05-01,Peru,2.79,3.33,0.88,
2020-05-01,Philippines,0.55,0.56,0.3,
2020-05-01,Poland,0.58,0.7,0.44,
2020-05-01,Portugal,0.14,0.13,0.87,
2020-05-01,"Puerto Rico, U.S.",0.45,0.46,0.93,
2020-05-01,Qatar,0.97,0.97,2,
2020-05-01,Romania,0.31,0.32,0.27,
2020-05-01,Russia,1.82,2.17,1.19,
2020-05-01,Saudi Arabia,0.94,0.86,2.02,
2020-05-01,Senegal,1.81,0.85,1.5,
2020-05-01,Serbia,0.68,0.6,0.35,
2020-05-01,Singapore,0,0,0.44,
2020-05-01,Slovakia,0.36,0.65,0.43,
2020-05-01,Slovenia,0.47,0.82,0.18,
2020-05-01,South Africa,2.01,2.22,1.2,
2020-05-01,South Korea,0.8,1.01,0.38,
2020-05-01,Spain,0.81,0.91,0.95,
2020-05-01,Sri Lanka,0.8,1.06,0.29,
2020-05-01,Sudan,1.48,1.9,0.51,
2020-05-01,Sweden,2.53,2.69,0.5,
2020-05-01,Switzerland,0.32,0.28,0.89,
2020-05-01,Taiwan,0.2,0.22,0.18,
2020-05-01,Tanzania,4.2,4.22,1.59,
2020-05-01,Thailand,0.58,0.73,0.82,
2020-05-01,Tunisia,0.65,0.88,0.7,
2020-05-01,Turkey,0.84,0.88,0.47,
2020-05-01,Ukraine,1.15,1.34,0.25,
2020-05-01,United Arab Emirates,1.45,1.47,2.83,
2020-05-01,United Kingdom,1.01,1.1,0.78,
