date,country,pct_ili,pct_cli,pct_tested,region
2020-06-01,Afghanistan,12.94,15.1,6.43,
2020-06-01,Aland Islands,13.33,13.71,8.53,
2020-06-01,Albania,3.94,3.89,3.25,
2020-06-01,Algeria,2.01,2.3,0.78,
2020-06-01,American Samoa,26,22.08,2.07,
2020-06-01,Andorra,15.29,15.4,10.17,
2020-06-01,Angola,0.6,0.84,0.69,
2020-06-01,Antigua,7.09,6.09,8.25,
2020-06-01,Argentina,0.54,0.6,0.3,
2020-06-01,Armenia,2.09,2.49,0.84,
2020-06-01,Australia,1.16,1.2,2.45,
2020-06-01,Austria,0.33,0.4,0.86,
2020-06-01,Azerbaijan,1.63,1.61,1.34,
2020-06-01,Bahrain,11.86,11.86,9.29,
2020-06-01,Bangladesh,4.37,4.42,1.8,
2020-06-01,Belarus,2.6,2.85,2.39,
2020-06-01,Belgium,0.39,0.39,1.99,
2020-06-01,Belize,5.48,12.5,6.3,
2020-06-01,Benin,2.12,2.45,1.16,
2020-06-01,Bolivia,2.32,2.74,0.79,
2020-06-01,Bosnia and Herzegovina,0.61,0.71,0.25,
2020-06-01,Brazil,1.89,2.02,1.47,
2020-06-01,Bulgaria,0.48,0.49,0.44,
2020-06-01,Burkina Faso,0.78,1.22,0.69,
2020-06-01,Cambodia,2.59,3.12,1.35,
2020-06-01,Cameroon,3.32,3.5,4.27,
2020-06-01,Canada,0.56,0.6,0.95,
2020-06-01,Chile,1.06,1.2,1.55,
2020-06-01,Colombia,0.88,1.04,0.32,
2020-06-01,Costa Rica,1.11,1.32,0.34,
2020-06-01,Croatia,0.45,0.45,0.2,
2020-06-01,Czech Republic,0.41,0.41,1.04,
2020-06-01,Côte d'Ivoire,1.61,1.84,1.65,
2020-06-01,Democratic Republic of the Congo,4.51,5.11,5.78,
2020-06-01,Denmark,0.67,0.66,2.16,
2020-06-01,Dominica,0.28,0.98,2.19,
2020-06-01,Dominican Republic,1.13,1.17,1.07,
2020-06-01,Ecuador,3.35,4.04,2.6,
2020-06-01,Egypt,1.54,1.85,0.5,
2020-06-01,El Salvador,1.13,1.19,0.51,
2020-06-01,Ethiopia,2.59,2.59,1.92,
2020-06-01,Finland,0.5,0.5,0.86,
2020-06-01,France,0.58,0.59,1.31,
2020-06-01,Germany,0.37,0.35,0.87,
2020-06-01,Ghana,1.74,1.98,1.27,
2020-06-01,Greece,0.18,0.33,0.39,
2020-06-01,Guatemala,0.72,0.89,0.42,
2020-06-01,Guinea,1.79,2.02,1.99,
2020-06-01,Haiti,2.85,3.29,1.92,
2020-06-01,Honduras,1.4,1.63,0.84,
2020-06-01,Hong Kong,0.33,0.36,0.3,
2020-06-01,Hungary,0.3,0.32,0.41,
2020-06-01,India,0.69,0.72,0.65,
