date,country,pct_ili,pct_cli,pct_tested,region
2020-09-01,Afghanistan,15.45,16.09,14.54,
2020-09-01,Aland Islands,27.06,24.18,19.97,
2020-09-01,Albania,7.41,7.32,8.45,
2020-09-01,Algeria,3.74,4.34,7.26,
2020-09-01,American Samoa,16.54,16.62,20.75,
2020-09-01,Andorra,19.74,19.3,24.39,
2020-09-01,Angola,1.49,2.18,7.49,
2020-09-01,Argentina,1.32,1.57,3.55,
2020-09-01,Armenia,5.56,5.57,5.43,
2020-09-01,Australia,1.69,1.76,6.08,
2020-09-01,Austria,0.56,0.73,5.1,
2020-09-01,Azerbaijan,3.6,3.75,5.69,
2020-09-01,Bangladesh,5.96,6.2,6.07,
2020-09-01,Belarus,2.32,2.68,3.64,
2020-09-01,Belgium,0.98,0.92,6.1,
2020-09-01,Benin,3.98,3.98,8.85,
2020-09-01,Bolivia,5.5,6.07,10.64,
2020-09-01,Bosnia and Herzegovina,1.45,1.7,5.1,
2020-09-01,Brazil,1.64,1.79,5.4,
2020-09-01,Bulgaria,1.34,1.31,3.35,
2020-09-01,Burkina Faso,1.82,1.82,6.3,
2020-09-01,Cambodia,5.17,6,10.42,
2020-09-01,Cameroon,1.8,2.44,12.26,
2020-09-01,Canada,0.6,0.63,4.27,
2020-09-01,Chile,0.77,0.89,6.14,
2020-09-01,Colombia,2.64,2.94,5.05,
2020-09-01,Costa Rica,2.11,2.32,2.05,
2020-09-01,Croatia,1.08,1.3,2.19,
2020-09-01,Czech Republic,1.59,1.55,2.6,
2020-09-01,Côte d'Ivoire,2.62,2.83,7.32,
2020-09-01,Democratic Republic of the Congo,4.01,4.01,11.66,
2020-09-01,Denmark,1.03,1.2,10.38,
2020-09-01,Dominican Republic,2.31,2.88,7.46,
2020-09-01,Ecuador,3.28,3.64,8.75,
2020-09-01,Egypt,2.81,3.08,3.19,
2020-09-01,El Salvador,4.08,4.81,3.21,
2020-09-01,Ethiopia,1.9,2.3,11.2,
2020-09-01,Finland,0.98,1.24,4.75,
2020-09-01,France,1.03,1.07,6.79,
2020-09-01,Germany,0.44,0.48,4.37,
2020-09-01,Ghana,3.94,3.65,4.95,
2020-09-01,Greece,0.44,0.51,6.42,
2020-09-01,Guatemala,3.12,3.54,4.49,
2020-09-01,Guinea,5.42,5.42,14.41,
2020-09-01,Haiti,2.2,2.62,7.89,
2020-09-01,Honduras,3.74,4.11,10.89,
2020-09-01,Hong Kong,0.46,0.47,8.29,
2020-09-01,Hungary,0.62,0.68,1.6,
2020-09-01,India,1.76,1.98,7.44,
2020-09-01,Indonesia,1.61,1.85,10.52,
2020-09-01,Iraq,6.37,7.38,8.6,
2020-09-01,Ireland,0.85,0.85,3.44,
2020-09-01,Israel,1.06,1.13,5.38,
2020-09-01,Italy,0.28,0.31,4.86,
2020-09-01,Japan,0.42,0.59,0.84,
2020-09-01,Jordan,2.25,2.47,5.36,
