,country,region
0,Afghanistan,Kabul
1,Albania,Tiranë
2,Algeria,Alger
3,Angola,Luanda
4,Argentina,Buenos Aires
5,Argentina,Chaco
6,Argentina,Chubut
7,Argentina,Ciudad Autónoma de Buenos Aires
8,Argentina,Córdoba
9,Argentina,Corrientes
10,Argentina,Entre Ríos
11,Argentina,Formosa
12,Argentina,Jujuy
13,Argentina,La Rioja
14,Argentina,Mendoza
15,Argentina,Misiones
16,Argentina,Neuquén
17,Argentina,Río Negro
18,Argentina,Salta
19,Argentina,San Juan
20,Argentina,Santa Cruz
21,Argentina,Santa Fe
22,Argentina,Santiago del Estero
23,Argentina,Tucumán
24,Armenia,Erevan
25,Australia,Australian Capital Territory
26,Australia,New South Wales
27,Australia,Queensland
28,Australia,South Australia
29,Australia,Tasmania
30,Australia,Victoria
31,Australia,Western Australia
32,Austria,Niederösterreich
33,Austria,Oberösterreich
34,Austria,Steiermark
35,Austria,Tirol
36,Austria,Wien
37,Azerbaijan,Baku
38,Bangladesh,Chittagong
39,Bangladesh,Dhaka
40,Bangladesh,Khulna
41,Bangladesh,Rajasahi
42,Bangladesh,Sylhet
43,Belarus,Minsk
44,Belgium,Bruxelles
45,Belgium,Vlaanderen
46,Belgium,Wallonie
47,Bolivia,Chuquisaca
48,Bolivia,Cochabamba
49,Bolivia,La Paz
50,Bolivia,Santa Cruz
51,Bolivia,Tarija
52,Bosnia and Herzegovina,Federacija Bosna i Hercegovina
53,Brazil,Acre
54,Brazil,Alagoas
55,Brazil,Amapá
56,Brazil,Amazonas
57,Brazil,Bahia
58,Brazil,Ceará
59,Brazil,Distrito Federal
60,Brazil,Espírito Santo
61,Brazil,Goiás
62,Brazil,Maranhão
63,Brazil,Mato Grosso
64,Brazil,Mato Grosso do Sul
65,Brazil,Minas Gerais
66,Brazil,Pará
67,Brazil,Paraíba
68,Brazil,Paraná
69,Brazil,Pernambuco
70,Brazil,Piauí
71,Brazil,Rio de Janeiro
72,Brazil,Rio Grande do Norte
73,Brazil,Rio Grande do Sul
74,Brazil,Rondônia
75,Brazil,Roraima
76,Brazil,Santa Catarina
77,Brazil,São Paulo
78,Brazil,Sergipe
79,Brazil,Tocantins
80,Bulgaria,Grad Sofiya
81,Bulgaria,Plovdiv
82,Bulgaria,Sofia
83,Burkina Faso,Centre
84,Cameroon,Centre
85,Cameroon,Littoral
86,Canada,Alberta
87,Canada,British Columbia
88,Canada,Manitoba
89,Canada,New Brunswick
90,Canada,Newfoundland and Labrador
91,Canada,Nova Scotia
92,Canada,Ontario
93,Canada,Québec
94,Canada,Saskatchewan
95,Chile,Antofagasta
96,Chile,Araucanía
97,Chile,Bío-Bío
98,Chile,Coquimbo
99,Chile,Libertador General Bernardo O'Higgins
100,Chile,Los Lagos
101,Chile,Los Ríos
102,Chile,Maule
103,Chile,Ñuble
104,Chile,Región Metropolitana de Santiago
105,Chile,Tarapacá
106,Chile,Valparaíso
107,Colombia,Antioquia
108,Colombia,Atlántico
109,Colombia,"Bogotá, Distrito Capital"
110,Colombia,Bolívar
111,Colombia,Boyacá
112,Colombia,Caldas
113,Colombia,Cauca
114,Colombia,Cesar
115,Colombia,Córdoba
116,Colombia,Cundinamarca
117,Colombia,Huila
118,Colombia,Magdalena
119,Colombia,Meta
120,Colombia,Nariño
121,Colombia,Norte de Santander
122,Colombia,Quindío
123,Colombia,Risaralda
124,Colombia,Santander
125,Colombia,Tolima
126,Colombia,Valle del Cauca
127,Costa Rica,Alajuela
128,Costa Rica,Cartago
129,Costa Rica,Guanacaste
130,Costa Rica,Heredia
131,Costa Rica,Puntarenas
132,Costa Rica,San José
133,Côte d'Ivoire,Autonome d'Abidjan
134,Croatia,Grad Zagreb
135,Czech Republic,Jihočeský
136,Czech Republic,Jihomoravský
137,Czech Republic,Královéhradecký
138,Czech Republic,Liberecký
139,Czech Republic,Moravskoslezský
140,Czech Republic,Olomoucký
141,Czech Republic,Plzeňský
142,Czech Republic,Prague
143,Czech Republic,Středočeský
144,Czech Republic,Ústecký
145,Denmark,Hovedstaden
146,Denmark,Midtjylland
147,Denmark,Nordjylland
148,Denmark,Sjælland
149,Denmark,Syddanmark
150,Dominican Republic,Distrito Nacional
151,Dominican Republic,Santiago
152,Dominican Republic,Santo Domingo
153,Ecuador,Azuay
154,Ecuador,El Oro
155,Ecuador,Guayas
156,Ecuador,Imbabura
157,Ecuador,Loja
158,Ecuador,Manabi
159,Ecuador,Pichincha
160,Ecuador,Tungurahua
161,Egypt,Ad Daqahliyah
162,Egypt,Al Buhayrah
163,Egypt,Al Fayyum
164,Egypt,Al Gharbiyah
165,Egypt,Al Iskandariyah
166,Egypt,Al Isma`iliyah
167,Egypt,Al Jizah
168,Egypt,Al Minufiyah
169,Egypt,Al Minya
170,Egypt,Al Qahirah
171,Egypt,Al Qalyubiyah
172,Egypt,Ash Sharqiyah
173,Egypt,Asyut
174,Egypt,Bani Suwayf
175,Egypt,Dumyat
176,Egypt,Kafr ash Shaykh
177,Egypt,Qina
178,Egypt,Suhaj
179,El Salvador,La Libertad
180,El Salvador,San Miguel
181,El Salvador,San Salvador
182,El Salvador,Santa Ana
183,El Salvador,Sonsonate
184,Ethiopia,Addis Abeba
185,Finland,Pirkanmaa
186,Finland,Uusimaa
187,Finland,Varsinais-Suomi
188,France,Auvergne-Rhône-Alpes
189,France,Bourgogne-Franche-Comté
190,France,Bretagne
191,France,Centre-Val de Loire
192,France,Grand Est
193,France,Hauts-de-France
194,France,Île-de-France
195,France,Normandie
196,France,Nouvelle-Aquitaine
197,France,Occitanie
198,France,Pays de la Loire
199,France,Provence-Alpes-Côte d'Azur
200,Germany,Baden-Württemberg
201,Germany,Bayern
202,Germany,Berlin
203,Germany,Brandenburg
204,Germany,Bremen
205,Germany,Hamburg
206,Germany,Hessen
207,Germany,Mecklenburg-Vorpommern
208,Germany,Niedersachsen
209,Germany,Nordrhein-Westfalen
210,Germany,Rheinland-Pfalz
211,Germany,Saarland
212,Germany,Sachsen
213,Germany,Sachsen-Anhalt
214,Germany,Schleswig-Holstein
215,Germany,Thüringen
216,Ghana,Greater Accra
217,Ghana,North East
218,Greece,Attiki
219,Greece,Kentriki Makedonia
220,Greece,Kriti
221,Greece,Peloponnisos
222,Guatemala,Escuintla
223,Guatemala,Guatemala
224,Guatemala,Quezaltenango
225,Honduras,Cortés
226,Honduras,Francisco Morazán
227,Hungary,Bács-Kiskun
228,Hungary,Baranya
229,Hungary,Békés
230,Hungary,Borsod-Abaúj-Zemplén
231,Hungary,Budapest
232,Hungary,Csongrád
233,Hungary,Fejér
234,Hungary,Gyor-Moson-Sopron
235,Hungary,Hajdú-Bihar
236,Hungary,Heves
237,Hungary,Jász-Nagykun-Szolnok
238,Hungary,Komárom-Esztergom
239,Hungary,Pest
240,Hungary,Somogy
241,Hungary,Szabolcs-Szatmár-Bereg
242,Hungary,Tolna
243,Hungary,Vas
244,Hungary,Veszprém
245,Hungary,Zala
246,India,Andhra Pradesh
247,India,Assam
248,India,Bihar
249,India,Chhattisgarh
250,India,Gujarat
251,India,Haryana
252,India,Himachal Pradesh
253,India,Jharkhand
254,India,Karnataka
255,India,Kerala
256,India,Madhya Pradesh
257,India,Maharashtra
258,India,NCT of Delhi
259,India,Odisha
260,India,Punjab
261,India,Rajasthan
262,India,Tamil Nadu
263,India,Telangana
264,India,Uttarakhand
265,India,Uttar Pradesh
266,India,West Bengal
267,Indonesia,Aceh
268,Indonesia,Bali
269,Indonesia,Banten
270,Indonesia,Jakarta Raya
271,Indonesia,Jambi
272,Indonesia,Jawa Barat
273,Indonesia,Jawa Tengah
274,Indonesia,Jawa Timur
275,Indonesia,Kalimantan Barat
276,Indonesia,Kalimantan Selatan
277,Indonesia,Kalimantan Tengah
278,Indonesia,Kalimantan Timur
279,Indonesia,Kepulauan Riau
280,Indonesia,Lampung
281,Indonesia,Nusa Tenggara Barat
282,Indonesia,Nusa Tenggara Timur
283,Indonesia,Papua
284,Indonesia,Riau
285,Indonesia,Sulawesi Selatan
286,Indonesia,Sulawesi Tengah
287,Indonesia,Sulawesi Utara
288,Indonesia,Sumatera Barat
289,Indonesia,Sumatera Selatan
290,Indonesia,Sumatera Utara
291,Indonesia,Yogyakarta
292,Iraq,Al-Basrah
293,Iraq,Babil
294,Iraq,Baghdad
295,Iraq,Erbil
296,Iraq,Najaf
297,Iraq,Ninewa
298,Ireland,Cork
299,Ireland,Dublin
300,Israel,HaDarom
301,Israel,Haifa
302,Israel,HaMerkaz
303,Israel,HaZafon
304,Israel,Jerusalem
305,Israel,Tel Aviv
306,Italy,Abruzzo
307,Italy,Calabria
308,Italy,Campania
309,Italy,Emilia-Romagna
310,Italy,Friuli-Venezia Giulia
311,Italy,Lazio
312,Italy,Liguria
313,Italy,Lombardia
314,Italy,Marche
315,Italy,Piemonte
316,Italy,Puglia
317,Italy,Sardegna
318,Italy,Sicilia
319,Italy,Toscana
320,Italy,Trentino-Alto Adige
321,Italy,Umbria
322,Italy,Veneto
323,Japan,Aichi
324,Japan,Chiba
325,Japan,Fukuoka
326,Japan,Fukushima
327,Japan,Gifu
328,Japan,Gunma
329,Japan,Hiroshima
330,Japan,Hokkaido
331,Japan,Hyōgo
332,Japan,Ibaraki
333,Japan,Ishikawa
334,Japan,Kagawa
335,Japan,Kagoshima
336,Japan,Kanagawa
337,Japan,Kumamoto
338,Japan,Kyoto
339,Japan,Mie
340,Japan,Miyagi
341,Japan,Nagano
342,Japan,Nara
343,Japan,Niigata
344,Japan,Okayama
345,Japan,Okinawa
346,Japan,Osaka
347,Japan,Saitama
348,Japan,Shiga
349,Japan,Shizuoka
350,Japan,Tochigi
351,Japan,Tokyo
352,Japan,Yamaguchi
353,Jordan,Amman
354,Jordan,Irbid
355,Jordan,Zarqa
356,Kazakhstan,Almaty
357,Kazakhstan,Nur-Sultan (Astana)
358,Kenya,Nairobi
359,Kuwait,Hawalli
360,Kyrgyzstan,Biškek
361,Lebanon,Beirut
362,Lebanon,Mount Lebanon
363,Libya,Benghazi
364,Libya,Tripoli
365,Malaysia,Johor
366,Malaysia,Kedah
367,Malaysia,Kuala Lumpur
368,Malaysia,Perak
369,Malaysia,Pulau Pinang
370,Malaysia,Sabah
371,Malaysia,Sarawak
372,Malaysia,Selangor
373,Mexico,Aguascalientes
374,Mexico,Baja California
375,Mexico,Baja California Sur
376,Mexico,Campeche
377,Mexico,Chiapas
378,Mexico,Chihuahua
379,Mexico,Coahuila
380,Mexico,Colima
381,Mexico,Distrito Federal
382,Mexico,Durango
383,Mexico,Guanajuato
384,Mexico,Guerrero
385,Mexico,Hidalgo
386,Mexico,Jalisco
387,Mexico,México
388,Mexico,Michoacán
389,Mexico,Morelos
390,Mexico,Nayarit
391,Mexico,Nuevo León
392,Mexico,Oaxaca
393,Mexico,Puebla
394,Mexico,Querétaro
395,Mexico,Quintana Roo
396,Mexico,San Luis Potosí
397,Mexico,Sinaloa
398,Mexico,Sonora
399,Mexico,Tabasco
400,Mexico,Tamaulipas
401,Mexico,Tlaxcala
402,Mexico,Veracruz
403,Mexico,Yucatán
404,Mexico,Zacatecas
405,Moldova,Chişinău
406,Morocco,Casablanca-Settat
407,Morocco,Fès-Meknès
408,Morocco,Marrakesh-Safi
