country,database,country_name,region,pop
UnitedStates,JHU,United States,Main territory,326687501
China,JHU,China,Main territory,1392730000
Afghanistan,JHU,Afghanistan,Main territory,37172386
Albania,JHU,Albania,Main territory,2866376
Algeria,JHU,Algeria,Main territory,42228429
Andorra,JHU,Andorra,Main territory,77006
Angola,JHU,Angola,Main territory,30809762
AntiguaandBarbuda,JHU,Antigua and Barbuda,Main territory,96286
Argentina,JHU,Argentina,Main territory,44494502
Armenia,JHU,Armenia,Main territory,2951776
Australia,JHU,Australia,Main territory,24982688
Austria,JHU,Austria,Main territory,8840521
Azerbaijan,JHU,Azerbaijan,Main territory,9939800
Bahamas,JHU,Bahamas,Main territory,385640
Bahrain,JHU,Bahrain,Main territory,1569439
Bangladesh,JHU,Bangladesh,Main territory,161356039
Barbados,JHU,Barbados,Main territory,286641
Belarus,JHU,Belarus,Main territory,9483499
Belgium,JHU,Belgium,Main territory,11433256
Benin,JHU,Benin,Main territory,11485048
Belize,JHU,Belize,Main territory,383071
Bhutan,JHU,Bhutan,Main territory,754394
Bolivia,JHU,Bolivia,Main territory,11353142
BosniaandHerzegovina,JHU,Bosnia and Herzegovina,Main territory,3323929
Botswana,JHU,Botswana,Main territory,2254126
Brazil,JHU,Brazil,Main territory,209469333
Brunei,JHU,Brunei,Main territory,428962
Bulgaria,JHU,Bulgaria,Main territory,7025037
BurkinaFaso,JHU,Burkina Faso,Main territory,19751535
Burundi,JHU,Burundi,Main territory,11175378
CaboVerde,JHU,Cabo Verde,Main territory,543767
Cambodia,JHU,Cambodia,Main territory,16249798
Cameroon,JHU,Cameroon,Main territory,25216237
Canada,JHU,Canada,Main territory,37057765
CentralAfricanRepublic,JHU,Central African Republic,Main territory,4666377
Chad,JHU,Chad,Main territory,15477751
Chile,JHU,Chile,Main territory,18729160
Colombia,JHU,Colombia,Main territory,49648685
Congo(Brazzaville),JHU,Congo,Main territory,5244363
Congo(Kinshasa),JHU,Democratic Republic of the Congo,Main territory,84068091
CostaRica,JHU,Costa Rica,Main territory,4999441
Croatia,JHU,Croatia,Main territory,4087843
Coted'Ivoire,JHU,Côte d'Ivoire,Main territory,26627699
Cuba,JHU,Cuba,Main territory,11338138
Cyprus,JHU,Cyprus,Main territory,1189265
Czechia,JHU,Czech Republic,Main territory,10629928
Denmark,JHU,Denmark,Main territory,5793636
Djibouti,JHU,Djibouti,Main territory,958920
Dominica,JHU,Dominica,Main territory,71625
DominicanRepublic,JHU,Dominican Republic,Main territory,10627165
Ecuador,JHU,Ecuador,Main territory,17084357
Egypt,JHU,Egypt,Main territory,98423595
ElSalvador,JHU,El Salvador,Main territory,6420744
EquatorialGuinea,JHU,Equatorial Guinea,Main territory,1308974
Eritrea,JHU,Eritrea,Main territory,3565394
Estonia,JHU,Estonia,Main territory,1321977
Eswatini,JHU,Eswatini,Main territory,1136191
Ethiopia,JHU,Ethiopia,Main territory,109224559
Fiji,JHU,Fiji,Main territory,883483
Finland,JHU,Finland,Main territory,5515525
France,JHU,France,Main territory,66977107
Gabon,JHU,Gabon,Main territory,2119275
Gambia,JHU,Gambia,Main territory,2280102
Georgia,JHU,Georgia,Main territory,3726549
Germany,JHU,Germany,Main territory,82905782
Ghana,JHU,Ghana,Main territory,29767108
Greece,JHU,Greece,Main territory,10731726
Grenada,JHU,Grenada,Main territory,111454
Guatemala,JHU,Guatemala,Main territory,17247807
Guinea,JHU,Guinea,Main territory,12414318
Guinea-Bissau,JHU,Guinea-Bissau,Main territory,1874309
Guyana,JHU,Guyana,Main territory,779004
Guernsey,ECDC,Guernsey,Main territory,67052
Haiti,JHU,Haiti,Main territory,11123176
HolySee,JHU,Holy See,Main territory,801
Honduras,JHU,Honduras,Main territory,9587522
Hungary,JHU,Hungary,Main territory,9775564
Iran,JHU,Iran,Main territory,81800269
Iraq,JHU,Iraq,Main territory,38433600
Iceland,JHU,Iceland,Main territory,352721
Indonesia,JHU,Indonesia,Main territory,267663435
