country,database,country_name,region,pop
UnitedStates,JHU,United States,NA,326687501
China,JHU,China,NA,1392730000
Afghanistan,JHU,Afghanistan,NA,37172386
Albania,JHU,Albania,NA,2866376
Algeria,JHU,Algeria,NA,42228429
Andorra,JHU,Andorra,NA,77006
Angola,JHU,Angola,NA,30809762
AntiguaandBarbuda,JHU,Antigua and Barbuda,NA,96286
Argentina,JHU,Argentina,NA,44494502
Armenia,JHU,Armenia,NA,2951776
Australia,JHU,Australia,NA,24982688
Austria,JHU,Austria,NA,8840521
Azerbaijan,JHU,Azerbaijan,NA,9939800
Bahamas,JHU,Bahamas,NA,385640
Bahrain,JHU,Bahrain,NA,1569439
Bangladesh,JHU,Bangladesh,NA,161356039
Barbados,JHU,Barbados,NA,286641
Belarus,JHU,Belarus,NA,9483499
Belgium,JHU,Belgium,NA,11433256
Benin,JHU,Benin,NA,11485048
Belize,JHU,Belize,NA,383071
Bhutan,JHU,Bhutan,NA,754394
Bolivia,JHU,Bolivia,NA,11353142
BosniaandHerzegovina,JHU,Bosnia and Herzegovina,NA,3323929
Botswana,JHU,Botswana,NA,2254126
Brazil,JHU,Brazil,NA,209469333
Brunei,JHU,Brunei,NA,428962
Bulgaria,JHU,Bulgaria,NA,7025037
BurkinaFaso,JHU,Burkina Faso,NA,19751535
Burundi,JHU,Burundi,NA,11175378
CaboVerde,JHU,CaboVerde,NA,543767
Cambodia,JHU,Cambodia,NA,16249798
Cameroon,JHU,Cameroon,NA,25216237
Canada,JHU,Canada,NA,37057765
CentralAfricanRepublic,JHU,Central African Republic,NA,4666377
Chad,JHU,Chad,NA,15477751
Chile,JHU,Chile,NA,18729160
Colombia,JHU,Colombia,NA,49648685
Congo(Brazzaville),JHU,Congo,NA,5244363
Congo(Kinshasa),JHU,DR Congo,NA,84068091
CostaRica,JHU,CostaRica,NA,4999441
Croatia,JHU,Croatia,NA,4087843
Coted'Ivoire,JHU,Cote d'Ivoire,NA,0
Cuba,JHU,Cuba,NA,11338138
Cyprus,JHU,Cyprus,NA,1189265
Czechia,JHU,Czechia,NA,10629928
Denmark,JHU,Denmark,NA,5793636
Djibouti,JHU,Djibouti,NA,958920
Dominica,JHU,Dominica,NA,71625
DominicanRepublic,JHU,Dominican Republic,NA,10627165
Ecuador,JHU,Ecuador,NA,17084357
Egypt,JHU,Egypt,NA,98423595
ElSalvador,JHU,El Salvador,NA,6420744
EquatorialGuinea,JHU,Equatorial Guinea,NA,1308974
Eritrea,JHU,Eritrea,NA,0
Estonia,JHU,Estonia,NA,1321977
Eswatini,JHU,Eswatini,NA,1136191
Ethiopia,JHU,Ethiopia,NA,109224559
Fiji,JHU,Fiji,NA,883483
Finland,JHU,Finland,NA,5515525
France,JHU,France,NA,66977107
Gabon,JHU,Gabon,NA,2119275
Gambia,JHU,Gambia,NA,2280102
Georgia,JHU,Georgia,NA,3726549
Germany,JHU,Germany,NA,82905782
Ghana,JHU,Ghana,NA,29767108
Greece,JHU,Greece,NA,10731726
Grenada,JHU,Grenada,NA,111454
Guatemala,JHU,Guatemala,NA,17247807
Guinea,JHU,Guinea,NA,12414318
Guinea-Bissau,JHU,Guinea-Bissau,NA,1874309
Guyana,JHU,Guyana,NA,779004
Guernsey,ECDC,Guernsey,NA,0
Haiti,JHU,Haiti,NA,11123176
HolySee,JHU,Holy See,NA,0
Honduras,JHU,Honduras,NA,9587522
Hungary,JHU,Hungary,NA,9775564
