state_abb,state
ak,Alaska
al,Alabama
ar,Arkansas
az,Arizona
ca,California
co,Colorado
ct,Connecticut
dc,DistrictofColumbia
de,Delaware
fl,Florida
ga,Georgia
hi,Hawaii
ia,Iowa
id,Idaho
il,Illinois
in,Indiana
ks,Kansas
ky,Kentucky
la,Louisiana
ma,Massachusetts
md,Maryland
me,Maine
mi,Missouri
mn,Minnesota
mo,Missouri
ms,Mississippi
mt,Montana
nc,NorthCarolina
nd,NorthDakota
ne,Nebraska
nh,NewHampshire
nj,NewJersey
nm,NewMexico
nv,Nevada
ny,NewYork
oh,Ohio
ok,Oklahoma
or,Oregon
pa,Pennsylvania
pr,PuertoRico
ri,RhodeIsland
sc,SouthCarolina
sd,SouthDakota
tn,Tennessee
tx,Texas
ut,Utah
va,Virginia
vt,Vermont
wa,Washington
wv,WestVirginia
wi,Wisconsin
wy,Wyoming
